sentido,t_s,posicion_mm,presion_A_bar,presion_B_bar
calentamiento,141.1526,72.7376,30.9857,0.0000
calentamiento,141.3528,72.7707,30.9335,0.0000
calentamiento,141.5544,72.7639,30.8604,0.0000
calentamiento,141.7528,72.7001,30.9941,0.0000
calentamiento,141.9541,72.7674,30.9071,0.0000
calentamiento,142.1601,72.7247,30.9165,0.0000
calentamiento,142.3530,72.7235,30.8659,0.0000
calentamiento,142.5536,72.7407,30.8510,0.0000
calentamiento,142.7539,72.7078,30.9607,0.0000
calentamiento,142.9539,72.7213,30.8628,0.0000
calentamiento,143.1545,72.7315,30.9343,0.0000
calentamiento,143.3525,72.6991,30.9218,0.0000
calentamiento,143.5539,72.7104,30.9421,0.0000
calentamiento,143.7547,72.7103,30.8883,0.0000
calentamiento,143.9545,72.6911,30.9304,0.0000
calentamiento,144.1549,72.7015,30.8771,0.0000
calentamiento,144.3605,72.6709,30.9267,0.0000
calentamiento,144.5546,72.6860,30.9393,0.0000
calentamiento,144.7556,72.6906,30.8951,0.0000
calentamiento,144.9551,72.6409,30.9103,0.0000
calentamiento,145.1552,72.6548,30.9301,0.0000
calentamiento,145.3556,72.6924,30.8481,0.0000
calentamiento,145.5557,72.6311,30.8688,0.0000
calentamiento,145.7545,72.6765,30.8414,0.0000
calentamiento,145.9607,72.6526,30.8667,0.0000
calentamiento,146.1559,72.6309,30.9309,0.0000
calentamiento,146.3562,72.6768,30.8954,0.0000
calentamiento,146.5563,72.6251,30.9254,0.0000
calentamiento,146.7569,72.6117,30.8912,0.0000
calentamiento,146.9554,72.6372,30.8581,0.0000
calentamiento,147.1567,72.6076,30.8575,0.0000
calentamiento,147.3567,72.6260,30.8756,0.0000
calentamiento,147.5568,72.6254,30.8664,0.0000
calentamiento,147.7576,72.6018,30.9173,0.0000
calentamiento,147.9580,72.6257,30.9471,0.0000
calentamiento,148.1471,72.5996,30.8763,0.0000
calentamiento,148.3485,72.5759,30.9124,0.0000
calentamiento,148.5584,72.6102,30.9160,0.0000
calentamiento,148.7476,72.5753,30.8763,0.0000
calentamiento,148.9588,72.5599,30.8826,0.0000
calentamiento,149.1584,72.5972,30.8450,0.0000
calentamiento,149.3482,72.5526,30.9319,0.0000
calentamiento,149.5589,72.5866,30.9017,0.0000
calentamiento,149.7587,72.5804,30.8967,0.0000
calentamiento,149.9485,72.5375,30.8943,0.0000
calentamiento,150.1588,72.5896,30.8949,0.0000
calentamiento,150.3593,72.5444,30.9084,0.0000
calentamiento,150.5487,72.5366,30.9019,0.0000
calentamiento,150.7606,72.5798,30.8643,0.0000
calentamiento,150.9603,72.5068,30.9306,0.0000
calentamiento,151.1590,72.5039,30.8962,0.0000
calentamiento,151.3599,72.5547,30.8440,0.0000
calentamiento,151.5599,72.4964,30.9006,0.0000
calentamiento,151.7600,72.5205,30.8761,0.0000
calentamiento,151.9608,72.5324,30.8218,0.0000
calentamiento,152.1606,72.4774,30.8808,0.0000
calentamiento,152.3503,72.5337,30.9147,0.0000
calentamiento,152.5608,72.5206,30.8980,0.0000
calentamiento,152.7615,72.4633,30.9178,0.0000
calentamiento,152.9507,72.5204,30.8993,0.0000
calentamiento,153.1613,72.4757,30.9252,0.0000
calentamiento,153.3604,72.4565,30.8881,0.0000
calentamiento,153.5530,72.4963,30.8526,0.0000
calentamiento,153.7617,72.4536,30.8056,0.0000
calentamiento,153.9619,72.4715,30.9286,0.0000
calentamiento,154.1603,72.4693,30.8735,0.0000
calentamiento,154.3620,72.4431,30.8750,0.0000
calentamiento,154.5622,72.4733,30.9539,0.0000
calentamiento,154.7526,72.4485,30.8226,0.0000
calentamiento,154.9534,72.4301,30.8612,0.0000
calentamiento,155.1633,72.4649,30.8419,0.0000
calentamiento,155.3532,72.4200,30.7782,0.0000
calentamiento,155.5468,72.4341,30.8792,0.0000
calentamiento,155.7472,72.4318,30.8669,0.0000
calentamiento,155.9468,72.4099,30.8560,0.0000
calentamiento,156.1468,72.4387,30.8416,0.0000
calentamiento,156.3471,72.4548,30.8351,0.0000
calentamiento,156.5460,72.3841,30.8842,0.0000
calentamiento,156.7472,72.4367,30.8609,0.0000
calentamiento,156.9470,72.3967,30.8753,0.0000
calentamiento,157.1474,72.3758,30.8664,0.0000
calentamiento,157.3476,72.4117,30.9199,0.0000
calentamiento,157.5480,72.3696,30.8171,0.0000
calentamiento,157.7476,72.3662,30.8635,0.0000
calentamiento,157.9479,72.3948,30.8152,0.0000
calentamiento,158.1537,72.3443,30.8800,0.0000
calentamiento,158.3474,72.3897,30.8617,0.0000
calentamiento,158.5487,72.3699,30.8630,0.0000
calentamiento,158.7487,72.3446,30.9272,0.0000
calentamiento,158.9477,72.3967,30.7868,0.0000
calentamiento,159.1489,72.3412,30.8583,0.0000
calentamiento,159.3494,72.3533,30.8964,0.0000
calentamiento,159.5494,72.3655,30.8367,0.0000
calentamiento,159.7494,72.3332,30.8985,0.0000
calentamiento,159.9498,72.3398,30.8267,0.0000
calentamiento,160.1480,72.3306,30.8111,0.0000
calentamiento,160.3506,72.2966,30.8380,0.0000
calentamiento,160.5504,72.3535,30.8714,0.0000
calentamiento,160.7516,72.3152,30.8252,0.0000
calentamiento,160.9502,72.2854,30.8296,0.0000
calentamiento,161.1504,72.3438,30.8972,0.0000
calentamiento,161.3511,72.2721,30.8805,0.0000
calentamiento,161.5510,72.2969,30.8518,0.0000
calentamiento,161.7511,72.3236,30.8056,0.0000
calentamiento,161.9514,72.2630,30.8688,0.0000
calentamiento,162.1513,72.3087,30.8599,0.0000
calentamiento,162.3513,72.2717,30.8628,0.0000
calentamiento,162.5507,72.2479,30.8061,0.0000
calentamiento,162.7515,72.2986,30.8737,0.0000
calentamiento,162.9520,72.2694,30.8492,0.0000
calentamiento,163.1528,72.2717,30.8889,0.0000
calentamiento,163.3521,72.2912,30.8239,0.0000
calentamiento,163.5525,72.2423,30.8782,0.0000
calentamiento,163.7518,72.2728,30.8309,0.0000
calentamiento,163.9512,72.2480,30.8701,0.0000
calentamiento,164.1533,72.2029,30.8865,0.0000
calentamiento,164.3528,72.2669,30.8194,0.0000
calentamiento,164.5531,72.2194,30.8244,0.0000
calentamiento,164.7546,72.1977,30.8317,0.0000
calentamiento,164.9517,72.2591,30.9155,0.0000
calentamiento,165.1521,72.1942,30.8306,0.0000
calentamiento,165.3538,72.2137,30.8547,0.0000
calentamiento,165.5551,72.2400,30.8165,0.0000
calentamiento,165.7542,72.1790,30.8560,0.0000
calentamiento,165.9542,72.2209,30.8698,0.0000
calentamiento,166.1529,72.1957,30.8753,0.0000
calentamiento,166.3549,72.1726,30.8333,0.0000
calentamiento,166.5545,72.2086,30.8061,0.0000
calentamiento,166.7541,72.1541,30.8583,0.0000
calentamiento,166.9549,72.1780,30.8641,0.0000
calentamiento,167.1601,72.1789,30.8917,0.0000
calentamiento,167.3538,72.1454,30.8173,0.0000
calentamiento,167.5554,72.1911,30.8515,0.0000
calentamiento,167.7556,72.1642,30.8246,0.0000
calentamiento,167.9552,72.1684,30.8202,0.0000
calentamiento,168.1558,72.1632,30.7745,0.0000
calentamiento,168.3559,72.1332,30.7949,0.0000
calentamiento,168.5539,72.1300,30.8857,0.0000
calentamiento,168.7560,72.1601,30.8406,0.0000
calentamiento,168.9572,72.1022,30.8333,0.0000
calentamiento,169.1567,72.1568,30.8320,0.0000
calentamiento,169.3573,72.1092,30.8531,0.0000
calentamiento,169.5577,72.1073,30.8445,0.0000
calentamiento,169.7471,72.1364,30.8220,0.0000
calentamiento,169.9576,72.1002,30.8787,0.0000
calentamiento,170.1558,72.1165,30.8416,0.0000
calentamiento,170.3558,72.1385,30.8189,0.0000
calentamiento,170.5584,72.0670,30.9045,0.0000
calentamiento,170.7582,72.0989,30.8821,0.0000
calentamiento,170.9476,72.0937,30.8202,0.0000
calentamiento,171.1573,72.0676,30.8612,0.0000
calentamiento,171.3583,72.1109,30.7803,0.0000
calentamiento,171.5480,72.0482,30.7957,0.0000
calentamiento,171.7588,72.0630,30.8066,0.0000
calentamiento,171.9585,72.0701,30.8124,0.0000
calentamiento,172.1486,72.0237,30.8484,0.0000
calentamiento,172.3593,72.0758,30.8954,0.0000
calentamiento,172.5590,72.0447,30.8753,0.0000
calentamiento,172.7497,72.0356,30.8630,0.0000
calentamiento,172.9589,72.0629,30.8398,0.0000
calentamiento,173.1603,72.0257,30.8212,0.0000
calentamiento,173.3499,72.0402,30.8411,0.0000
calentamiento,173.5599,72.0403,30.8497,0.0000
calentamiento,173.7599,72.0024,30.8573,0.0000
calentamiento,173.9498,72.0391,30.7980,0.0000
calentamiento,174.1608,72.0138,30.8776,0.0000
calentamiento,174.3614,71.9972,30.8568,0.0000
calentamiento,174.5614,72.0466,30.7816,0.0000
calentamiento,174.7611,71.9971,30.8241,0.0000
calentamiento,174.9613,71.9948,30.8847,0.0000
calentamiento,175.1593,72.0101,30.8179,0.0000
calentamiento,175.3523,71.9608,30.8500,0.0000
calentamiento,175.5611,72.0018,30.7878,0.0000
calentamiento,175.7494,71.9840,30.8547,0.0000
calentamiento,175.9500,71.9482,30.8711,0.0000
calentamiento,176.1537,71.9698,30.8549,0.0000
calentamiento,176.3462,71.9541,30.8239,0.0000
calentamiento,176.5477,71.9405,30.8847,0.0000
calentamiento,176.7527,71.9851,30.7912,0.0000
calentamiento,176.9544,71.9374,30.7787,0.0000
calentamiento,177.1493,71.9471,30.8672,0.0000
calentamiento,177.3479,71.9710,30.7962,0.0000
calentamiento,177.5533,71.9176,30.8526,0.0000
calentamiento,177.7531,71.9396,30.8030,0.0000
calentamiento,177.9500,71.9274,30.7813,0.0000
calentamiento,178.1471,71.9153,30.8077,0.0000
calentamiento,178.3560,71.9535,30.7743,0.0000
