u_V,v_mm_s,presion_A_bar,presion_B_bar
-2.0,-0.6252,15.8,191.0
-1.0,-0.224,13.2,159.1
-0.5,-0.038,11.8,142.7
-0.25,0.0452,11.6,143.4
-0.1,0.0906,11.5,142.5
-0.05,0.1161,10.9,136.0
0.0,0.1405,8.3,105.0
0.05,0.1456,10.2,127.2
0.1,0.1667,11.5,142.2
0.25,0.223,11.9,147.2
0.5,0.3203,12.0,149.2
1.0,0.5547,11.8,146.7
2.0,1.012,11.3,140.5
